strategyName,n,win_rate,stop_rate,avg_pnl,med_pnl,avg_mfe,avg_mae,avg_score
Volume Accumulation,29,24.137931034482758,48.275862068965516,-0.17857902848897303,-0.9213936078318441,1.3281581969400764,-3.312898040135275,37.01726870126262
Rebound Watch,36,16.666666666666664,33.33333333333333,-0.28778787878977724,0.0,2.2976938032834644,-2.308295746633141,35.00034698236848
Momentum Breakout,38,18.421052631578945,44.73684210526316,-0.44595193013705736,-1.0843373493975905,2.6077971453235524,-2.9538557264989196,43.27775523847805
