episode_id,market,strategyName,strategyVersion,startAt,startAt_kst,lastAt,lastAt_kst,entryPrice,stopLossPrice,targetPrice,targetPct,stopPct,initialScore,maxScore,rows,eventTypes,maxMfePercent,minMaePercent,firstTargetAt_kst,firstStopAt_kst,outcome,pnlPct_rule,lastEvent,lastCurrentPrice,reason,score_bin,start_dt,timeToTargetMin,timeToStopMin
102,KRW-ENS,Momentum Breakout,v1,1778458426828,2026-05-11 09:13:46.828000+09:00,1778480030203,2026-05-11 15:13:50.203000+09:00,11350.0,11179.75,11577.0,2.0000000000000018,-1.5000000000000013,38.37285370440483,38.37285370440483,7,STRATEGY_CHANGED|INITIAL_SIGNAL|EXPIRED,0.0,-2.026431718061674,,2026-05-11 09:24:22.463000+09:00,STOP_FIRST,-1.5000000000000013,EXPIRED,11120.0,Positive trend with strong 24h trading value,"[36, 40)",2026-05-11 09:13:46.828000+09:00,,10.593916666666667
512,KRW-ENS,Volume Accumulation,v1,1778480061249,2026-05-11 15:14:21.249000+09:00,1778549125671,2026-05-12 10:25:25.671000+09:00,11060.0,10949.4,11225.9,1.4999999999999902,-1.0000000000000009,36.21923160518666,36.68484579115479,12,STRATEGY_CHANGED|INITIAL_SIGNAL,0.4520795660036166,-2.079566003616637,,2026-05-11 23:37:05.536000+09:00,STOP_FIRST,-1.0000000000000009,STRATEGY_CHANGED,10890.0,Stable price with high liquidity,"[36, 40)",2026-05-11 15:14:21.249000+09:00,,502.73811666666666
483,KRW-ETH,Rebound Watch,v1,1778479156256,2026-05-11 14:59:16.256000+09:00,1778810846962,2026-05-15 11:07:26.962000+09:00,3440000.0,3371200.0,3501920.0,1.8000000000000016,-2.0000000000000018,31.48038983178101,32.17400053659784,26,STRATEGY_CHANGED|INITIAL_SIGNAL,0.0,-2.5,,2026-05-13 22:40:06.124000+09:00,STOP_FIRST,-2.0000000000000018,STRATEGY_CHANGED,3373000.0,Pullback with active trading volume,"[0, 32)",2026-05-11 14:59:16.256000+09:00,,3340.831133333333
19,KRW-ETH,Volume Accumulation,v1,1778457495009,2026-05-11 08:58:15.009000+09:00,1778479124946,2026-05-11 14:58:44.946000+09:00,3473000.0,3438270.0,3525094.9999999995,1.4999999999999902,-1.0000000000000009,33.30380834082996,33.30380834082996,6,STRATEGY_CHANGED|INITIAL_SIGNAL|EXPIRED,0.1151742009789807,-0.9213936078318457,,,EXPIRED_NO_HIT,-0.9213936078318441,EXPIRED,3441000.0,Stable price with high liquidity,"[32, 36)",2026-05-11 08:58:15.009000+09:00,,
880,KRW-FF,Momentum Breakout,v1,1778518039689,2026-05-12 01:47:19.689000+09:00,1778877968451,2026-05-16 05:46:08.451000+09:00,104.0,102.44,106.08,2.0000000000000018,-1.5000000000000013,44.057460064845976,48.1147717217822,98,PRICE_MOVED_5_PERCENT|STRATEGY_CHANGED|INITIAL_SIGNAL,25.961538461538463,0.0,2026-05-12 15:33:02.418000+09:00,,TARGET_FIRST,2.0000000000000018,PRICE_MOVED_5_PERCENT,129.0,Positive trend with strong 24h trading value,"[44, 100)",2026-05-12 01:47:19.689000+09:00,825.71215,
4119,KRW-HP,Momentum Breakout,v1,1778738980059,2026-05-14 15:09:40.059000+09:00,1778738980059,2026-05-14 15:09:40.059000+09:00,26.1,25.7085,26.622000000000003,2.0000000000000018,-1.5000000000000013,47.27384603137723,47.27384603137723,1,INITIAL_SIGNAL,0.0,0.0,,,NO_HIT,0.0,INITIAL_SIGNAL,26.1,Positive trend with strong 24h trading value,"[44, 100)",2026-05-14 15:09:40.059000+09:00,,
1369,KRW-ICP,Volume Accumulation,v1,1778565904240,2026-05-12 15:05:04.240000+09:00,1778565904240,2026-05-12 15:05:04.240000+09:00,4897.0,4848.03,4970.455,1.4999999999999902,-1.0000000000000009,32.611337535354714,32.611337535354714,1,INITIAL_SIGNAL,0.0,0.0,,,NO_HIT,0.0,INITIAL_SIGNAL,4897.0,Stable price with high liquidity,"[32, 36)",2026-05-12 15:05:04.240000+09:00,,
4757,KRW-IMX,Momentum Breakout,v1,1778764748504,2026-05-14 22:19:08.504000+09:00,1778764748504,2026-05-14 22:19:08.504000+09:00,305.0,300.425,311.1,2.0000000000000018,-1.5000000000000013,45.917337591731226,45.917337591731226,1,INITIAL_SIGNAL,0.0,0.0,,,NO_HIT,0.0,INITIAL_SIGNAL,305.0,Positive trend with strong 24h trading value,"[44, 100)",2026-05-14 22:19:08.504000+09:00,,
2875,KRW-INJ,Momentum Breakout,v1,1778689105172,2026-05-14 01:18:25.172000+09:00,1778709528939,2026-05-14 06:58:48.939000+09:00,7930.0,7811.05,8088.6,2.0000000000000018,-1.5000000000000013,47.517123717941146,47.517123717941146,2,INITIAL_SIGNAL|PRICE_MOVED_5_PERCENT,0.0,-5.170239596469105,,2026-05-14 06:58:48.939000+09:00,STOP_FIRST,-1.5000000000000013,PRICE_MOVED_5_PERCENT,7520.0,Positive trend with strong 24h trading value,"[44, 100)",2026-05-14 01:18:25.172000+09:00,,340.39611666666667
533,KRW-IP,Rebound Watch,v1,1778481384765,2026-05-11 15:36:24.765000+09:00,1778632270425,2026-05-13 09:31:10.425000+09:00,856.0,838.88,871.408,1.8000000000000016,-2.0000000000000018,32.54136573943124,34.1901326254806,8,STRATEGY_CHANGED|INITIAL_SIGNAL,0.0,-3.6214953271028034,,2026-05-12 09:12:24.402000+09:00,STOP_FIRST,-2.0000000000000018,STRATEGY_CHANGED,825.0,Pullback with active trading volume,"[32, 36)",2026-05-11 15:36:24.765000+09:00,,1055.99395
