target,stop,horizon,n,avg,median,win_rate,target_rate,stop_rate,time_rate,profit_factor
3.0,-0.8,180,103,0.09282687884447904,0.0,20.388349514563107,3.8834951456310676,12.62135922330097,83.49514563106796,1.6386616312921265
3.0,-0.8,360,103,0.08796900896937371,0.0,23.300970873786408,4.854368932038835,16.50485436893204,78.64077669902912,1.481137258363279
3.0,-1.0,180,103,0.07880860839263357,0.0,20.388349514563107,3.8834951456310676,10.679611650485436,85.43689320388349,1.4945188464988939
3.0,-1.5,180,103,0.0771176383333579,0.0,21.35922330097087,4.854368932038835,7.766990291262135,87.37864077669903,1.4054951660557728
2.5,-0.8,180,103,0.07165027905842114,0.0,20.388349514563107,4.854368932038835,12.62135922330097,82.52427184466019,1.4929637264078814
3.0,-0.8,60,103,0.07027017932688279,0.0,16.50485436893204,2.912621359223301,9.70873786407767,87.37864077669903,1.7195456104654916
3.0,-1.0,360,103,0.06754925284849929,0.0,23.300970873786408,4.854368932038835,14.563106796116504,80.58252427184466,1.332336924762394
3.0,-1.2,180,103,0.05964191017801807,0.0,20.388349514563107,3.8834951456310676,8.737864077669903,87.37864077669903,1.3340704905770708
2.5,-0.8,360,103,0.05949763693395534,0.0,23.300970873786408,5.825242718446602,16.50485436893204,77.66990291262135,1.3254160783312146
2.5,-1.0,180,103,0.057632008606575656,0.0,20.388349514563107,4.854368932038835,10.679611650485436,84.46601941747572,1.3616370723810687
2.5,-0.8,60,103,0.055707072530766275,0.0,16.50485436893204,2.912621359223301,9.70873786407767,87.37864077669903,1.5704237543629131
2.0,-0.8,360,103,0.051752691564657984,0.0,24.271844660194176,8.737864077669903,16.50485436893204,74.75728155339806,1.2882986959131684
2.5,-1.5,180,103,0.05108666961526114,0.0,21.35922330097087,5.825242718446602,7.766990291262135,86.40776699029125,1.2686207465188428
3.0,-1.0,60,103,0.05100290910717313,0.0,16.50485436893204,2.912621359223301,8.737864077669903,88.3495145631068,1.4361967914959146
2.0,-0.8,60,103,0.04818679805008738,0.0,16.50485436893204,4.854368932038835,9.70873786407767,85.43689320388349,1.493418393854348
2.0,-0.8,180,103,0.0470437159190957,0.0,20.388349514563107,7.766990291262135,12.62135922330097,79.6116504854369,1.3236672042078463
3.0,-1.5,360,103,0.04644080706106827,0.0,24.271844660194176,5.825242718446602,11.650485436893204,82.52427184466019,1.183205681331529
3.0,-2.0,180,103,0.041687415989152855,0.0,21.35922330097087,4.854368932038835,4.854368932038835,90.29126213592234,1.184775126274054
3.0,-1.2,360,103,0.04061556434262166,0.0,23.300970873786408,4.854368932038835,12.62135922330097,82.52427184466019,1.1764444011770414
2.5,-1.0,360,103,0.03907788081308093,0.0,23.300970873786408,5.825242718446602,14.563106796116504,79.6116504854369,1.1922600500819485
1.8,-0.8,60,103,0.03847806018600971,0.0,16.50485436893204,4.854368932038835,9.70873786407767,85.43689320388349,1.3940038231192955
2.5,-1.2,180,103,0.03846531039196017,0.0,20.388349514563107,4.854368932038835,8.737864077669903,86.40776699029125,1.2154546203246444
2.5,-1.0,60,103,0.03643980231105663,0.0,16.50485436893204,2.912621359223301,8.737864077669903,88.3495145631068,1.3116474163743892
3.0,-1.2,60,103,0.03571970603818871,0.0,16.50485436893204,2.912621359223301,6.796116504854369,90.29126213592234,1.2701748759448095
1.8,-0.8,360,103,0.03427696340931818,0.0,24.271844660194176,8.737864077669903,16.50485436893204,74.75728155339806,1.1909466648401
2.0,-1.0,180,103,0.03302544546725022,0.0,20.388349514563107,7.766990291262135,10.679611650485436,81.55339805825243,1.207232503284543
1.8,-0.8,180,103,0.03150973533657142,0.0,20.388349514563107,7.766990291262135,12.62135922330097,79.6116504854369,1.2167912917265424
